State,Region,Food insecurity,Median household income,Children eligible for free lunch
TN,South,0.184,40750,0.54
TN,South,0.146,39170,0.541
TN,South,0.15,42128,0.601
TN,South,0.169,41455,0.443
TN,South,0.162,42363,0.484
TN,South,0.167,43346,0.432
TN,South,0.157,46497,0.489
TN,South,0.156,37502,0.507
TN,South,0.153,40543,0.533
TN,South,0.165,33110,0.519
TN,South,0.169,34596,0.527
TN,South,0.165,36361,0.625
TN,South,0.158,37874,0.609
TN,South,0.169,37850,0.622
TN,South,0.16,38061,0.574
TN,South,0.164,48267,0.352
TN,South,0.162,51059,0.357
TN,South,0.119,47091,0.416
TN,South,0.123,50802,0.415
TN,South,0.152,36170,0.51
TN,South,0.154,38027,0.521
TN,South,0.174,38718,0.487
TN,South,0.18,34469,0.539
TN,South,0.145,33220,0.526
TN,South,0.148,35457,
TN,South,0.187,31493,0.566
TN,South,0.181,33017,0.573
TN,South,0.171,32023,0.51
TN,South,0.172,32398,0.484
TN,South,0.148,36595,0.551
TN,South,0.143,37375,0.571
TN,South,0.164,34060,0.478
TN,South,0.163,35554,0.48
TN,South,0.165,40682,0.587
TN,South,0.168,38860,0.597
TN,South,0.127,41499,0.444
TN,South,0.135,42037,0.465
TN,South,0.128,54065,0.39
TN,South,0.127,51093,0.424
TN,South,0.139,53566,0.342
TN,South,0.137,57056,0.37
TN,South,0.222,29556,0.668
TN,South,0.204,27749,0.678
TN,South,0.135,38695,0.566
TN,South,0.142,46460,0.569
TN,South,0.142,42490,0.463
TN,South,0.143,40444,0.488
TN,South,0.221,44382,0.584
TN,South,0.211,45067,0.587
TN,South,0.14,42927,0.47
TN,South,0.14,43689,0.469
TN,South,0.147,41685,0.452
TN,South,0.151,43513,0.441
TN,South,0.129,38647,0.418
TN,South,0.137,40385,0.416
TN,South,0.123,55100,0.313
TN,South,0.123,56077,0.318
TN,South,0.159,51246,0.444
TN,South,0.154,53183,0.458
TN,South,0.144,41823,0.467
TN,South,0.14,41286,0.489
TN,South,0.151,36786,0.518
TN,South,0.153,36568,0.549
TN,South,0.143,33866,0.629
TN,South,0.147,35255,
TN,South,0.155,35201,0.511
TN,South,0.161,37393,0.523
TN,South,0.16,33576,0.562
TN,South,0.161,36327,0.563
TN,South,0.143,42371,0.39
TN,South,0.145,41542,0.411
TN,South,0.159,32016,0.549
TN,South,0.157,33318,0.568
TN,South,0.183,37595,0.476
TN,South,0.184,34809,0.463
TN,South,0.16,34534,0.513
TN,South,0.163,34320,0.553
TN,South,0.088,93003,0.111
TN,South,0.089,93241,0.111
TN,South,0.109,57676,0.297
TN,South,0.112,59655,
TX,South,0.2,41530,0.521
TX,South,0.199,41279,0.534
TX,South,0.126,57690,0.2
TX,South,0.117,62781,0.173
TX,South,0.185,39747,0.588
TX,South,0.191,41804,0.578
TX,South,0.158,40883,0.583
TX,South,0.159,41666,0.566
TX,South,0.136,55459,0.272
TX,South,0.146,56805,0.256
TX,South,0.152,52122,0.294
TX,South,0.146,44828,0.603
TX,South,0.134,46631,0.536
TX,South,0.152,51448,0.425
TX,South,0.15,52042,0.413
TX,South,0.158,38504,0.749
TX,South,0.138,37626,0.717
TX,South,0.151,48492,0.413
TX,South,0.158,50334,0.424
TX,South,0.153,50024,0.575
TX,South,0.151,50151,0.538
TX,South,0.144,33164,0.437
TX,South,0.16,34563,0.46
TX,South,0.181,39070,0.604
TX,South,0.171,41804,0.563
TX,South,0.196,48391,0.43
TX,South,0.201,50223,0.419
TX,South,0.167,49651,0.382
TX,South,0.159,49655,0.375
TX,South,0.124,52668,0.39
TX,South,0.14,54914,0.405
TX,South,0.159,40763,0.53
TX,South,0.164,42864,0.704
TX,South,0.2,40574,0.488
TX,South,0.21,41657,0.501
TX,South,0.159,64883,0.39
TX,South,0.156,66337,0.394
TX,South,0.22,40064,0.439
TX,South,0.223,39732,0.497
TX,South,0.147,39235,0.388
TX,South,0.147,39106,0.398
TX,South,0.204,26857,0.114
TX,South,0.17,27644,0.063
TX,South,0.163,43303,0.489
TX,South,0.169,38636,0.473
TX,South,0.152,43561,0.495
TX,South,0.163,45732,0.511
TX,South,0.146,49685,0.492
TX,South,0.157,49286,0.491
TX,South,0.18,42963,0.57
TX,South,0.168,46021,0.599
TX,South,0.162,44736,0.56
TX,South,0.154,51004,0.552
TX,South,0.134,41874,0.425
TX,South,0.154,42138,0.428
TX,South,0.208,31080,0.171
TX,South,0.18,33905,0.176
TX,South,0.197,37232,0.658
TX,South,0.203,37941,0.695
TX,South,0.109,53302,0.266
TX,South,0.124,59252,0.277
TX,South,0.211,36172,0.513
TX,South,0.217,37546,0.512
TX,South,0.151,40710,0.49
TX,South,0.155,40689,0.419
TX,South,0.142,73031,0.293
TX,South,0.145,74915,0.291
TX,South,0.196,35202,0.612
TX,South,0.202,37735,0.59
TX,South,0.151,34731,0.492
TX,South,0.16,33919,0.481
TX,South,0.127,51960,0.363
TX,South,0.138,50336,0.36
TX,South,0.155,35652,0.672
TX,South,0.142,37242,0.66
TX,South,0.152,37891,0.407
TX,South,0.16,38866,0.392
TX,South,0.197,32231,0.554
TX,South,0.2,33014,0.574
TX,South,0.147,81992,0.197
TX,South,0.153,81315,0.187
TX,South,0.165,35484,0.54
TX,South,0.162,35389,0.582
TX,South,0.16,40702,0.542
TX,South,0.165,42438,0.542
TX,South,0.135,59081,0.301
TX,South,0.141,70322,0.262
TX,South,0.161,36522,0.556
TX,South,0.173,35434,0.551
TX,South,0.154,37147,0.53
TX,South,0.14,39035,0.504
TX,South,0.147,51473,0.485
TX,South,0.157,53565,0.484
TX,South,0.198,46132,0.378
TX,South,0.203,50161,0.488
TX,South,0.151,55599,0.151
TX,South,0.126,58901,0.15
TX,South,0.153,46713,0.443
TX,South,0.133,50243,0.445
TX,South,0.19,36492,0.518
TX,South,0.174,35443,0.527
TX,South,0.136,40312,0.501
TX,South,0.143,42378,0.138
TX,South,0.206,47343,0.642
TX,South,0.2,47902,0.95
TX,South,0.166,36312,0.242
TX,South,0.153,38333,0.249
TX,South,0.152,40515,0.549
TX,South,0.149,45937,0.841
TX,South,0.141,39481,0.706
TX,South,0.132,37991,0.735
TX,South,0.179,37515,0.547
TX,South,0.183,37985,0.637
TX,South,0.152,71338,0.26
TX,South,0.158,75099,0.28
TX,South,0.182,35491,0.353
TX,South,0.172,33342,0.693
TX,South,0.136,35801,0.716
TX,South,0.154,35081,0.48
TX,South,0.171,34861,0.465
TX,South,0.161,33223,0.466
TX,South,0.128,35118,0.501
TX,South,0.165,37916,0.55
TX,South,0.179,39959,0.53
TX,South,0.147,49784,0.524
TX,South,0.138,53752,0.474
TX,South,0.141,34388,0.567
TX,South,0.131,35339,0.447
TX,South,0.187,40092,0.592
TX,South,0.164,39748,0.585
TX,South,0.155,58016,0.407
TX,South,0.155,59257,0.436
TX,South,0.172,38636,0.47
TX,South,0.186,40346,0.467
TX,South,0.218,34388,0.686
TX,South,0.211,34376,0.7
TX,South,0.181,43183,0.467
TX,South,0.187,42392,0.467
TX,South,0.143,46907,0.445
TX,South,0.156,50938,0.415
TX,South,0.146,38963,0.452
TX,South,0.15,40691,0.458
TX,South,0.171,34503,0.635
TX,South,0.164,36534,0.632
TX,South,0.174,33484,0.521
TX,South,0.152,86037,0.278
TX,South,0.149,87901,0.232
TX,South,0.149,40892,0.475
TX,South,0.161,41497,0.483
TX,South,0.162,45402,0.429
TX,South,0.172,44408,0.424
TX,South,0.162,32276,0.587
TX,South,0.142,35405,0.575
TX,South,0.146,46659,0.465
TX,South,0.138,49661,0.439
TX,South,0.179,59588,0.39
TX,South,0.176,60210,0.29
TX,South,0.165,39988,0.547
TX,South,0.151,47134,0.52
TX,South,0.122,51132,0.413
TX,South,0.135,50443,0.409
TX,South,0.135,46400,0.456
TX,South,0.142,48458,0.442
TX,South,0.165,36006,0.667
TX,South,0.161,37051,0.644
TX,South,0.145,43131,0.507
TX,South,0.153,48623,0.494
TX,South,0.172,46127,0.446
TX,South,0.182,44596,0.45
TX,South,0.188,43321,0.502
TX,South,0.193,46501,0.453
TX,South,0.174,42674,0.573
TX,South,0.173,44486,0.568
TX,South,0.133,62141,0.362
TX,South,0.134,59288,0.341
TX,South,0.168,40118,0.623
TX,South,0.163,39209,0.62
TX,South,0.196,28656,0.624
TX,South,0.201,30380,0.61
TX,South,0.134,37386,0.343
TX,South,0.154,39448,0.359
TX,South,0.119,51038,0.488
TX,South,0.128,52207,0.447
TX,South,0.165,34601,0.612
TX,South,0.182,36726,0.598
TX,South,0.164,52318,0.347
TX,South,0.172,52037,0.333
TX,South,0.195,51298,0.467
TX,South,0.187,52533,0.536
TX,South,0.183,44958,0.497
TX,South,0.193,43777,0.5
TX,South,0.13,61498,0.459
TX,South,0.142,64558,1.0
TX,South,0.148,31505,0.526
TX,South,0.169,34473,0.583
TX,South,0.157,55819,0.405
TX,South,0.156,59260,0.414
TX,South,0.123,60499,0.317
TX,South,0.137,69124,0.323
TX,South,0.168,38017,0.551
TX,South,0.181,39069,0.594
TX,South,0.207,33393,0.099
TX,South,0.179,34607,0.093
TX,South,0.168,37610,0.581
TX,South,0.177,40253,0.575
TX,South,0.141,46010,0.516
TX,South,0.142,50047,0.508
TX,South,0.143,56591,0.384
TX,South,0.149,59053,0.397
TX,South,0.168,40228,0.501
TX,South,0.177,41863,0.524
TX,South,0.218,33650,0.597
TX,South,0.221,34777,0.59
TX,South,0.169,42256,0.492
TX,South,0.16,46636,0.449
TX,South,0.185,30043,0.751
TX,South,0.164,31354,0.767
TX,South,0.181,42821,0.504
TX,South,0.19,44361,0.548
TX,South,0.144,50752,0.399
TX,South,0.15,50060,0.396
TX,South,0.152,44064,0.439
TX,South,0.165,50168,0.447
TX,South,0.146,45363,0.453
TX,South,0.149,48338,0.423
TX,South,0.204,39219,0.519
TX,South,0.205,39414,0.511
TX,South,0.115,43065,0.418
TX,South,0.12,44234,0.435
TX,South,0.235,41207,0.565
TX,South,0.234,42099,0.576
TX,South,0.118,34546,0.267
TX,South,0.1,35854,0.301
TX,South,0.147,43696,0.633
TX,South,0.125,41249,0.632
TX,South,0.147,56659,0.424
TX,South,0.154,55960,0.391
TX,South,0.16,38066,0.548
TX,South,0.171,40621,0.511
TX,South,0.181,37292,0.558
TX,South,0.172,43413,0.549
TX,South,0.159,55044,0.427
TX,South,0.163,61004,0.414
TX,South,0.131,68975,0.245
TX,South,0.134,75860,0.204
TX,South,0.147,40919,0.206
TX,South,0.155,42456,0.293
TX,South,0.156,38378,0.496
TX,South,0.154,38019,0.508
TX,South,0.17,38870,0.59
TX,South,0.162,41271,0.549
TX,South,0.178,39237,0.634
TX,South,0.163,39261,0.604
TX,South,0.17,33182,0.585
TX,South,0.178,34419,0.505
TX,South,0.161,32001,0.793
TX,South,0.132,35491,0.797
TX,South,0.197,37943,0.513
TX,South,0.212,37593,0.522
TX,South,0.161,34505,0.564
TX,South,0.164,36717,0.588
TX,South,0.154,48442,0.445
TX,South,0.169,48746,0.486
TX,South,0.136,41606,0.29
TX,South,0.143,43827,0.161
TX,South,0.147,49906,0.549
TX,South,0.156,52088,0.545
TX,South,0.159,42201,0.474
TX,South,0.167,43617,0.49
TX,South,0.184,48441,0.549
TX,South,0.182,46176,0.545
TX,South,0.176,36496,0.609
TX,South,0.182,36537,0.605
TX,South,0.135,51003,0.489
TX,South,0.135,56484,0.446
TX,South,0.13,44573,0.459
TX,South,0.138,49726,0.451
TX,South,0.148,44316,0.502
TX,South,0.163,45669,0.487
TX,South,0.173,41555,0.484
TX,South,0.179,46223,0.492
TX,South,0.153,34852,0.482
TX,South,0.155,37678,0.464
TX,South,0.194,36579,0.62
TX,South,0.194,37460,0.637
TX,South,0.209,33330,0.323
TX,South,0.216,36090,0.325
TX,South,0.136,47358,0.286
TX,South,0.136,50004,0.253
TX,South,0.125,42128,0.487
TX,South,0.138,42087,0.462
TX,South,0.199,40860,0.577
TX,South,0.186,42036,0.601
TX,South,0.212,31313,0.008
TX,South,0.175,32073,0.006
TX,South,0.155,36483,0.536
TX,South,0.156,38408,0.565
TX,South,0.198,40855,0.539
TX,South,0.2,41066,0.522
TX,South,0.146,51345,0.416
TX,South,0.142,53714,0.436
TX,South,0.154,31608,0.664
TX,South,0.167,31390,0.588
TX,South,0.132,61268,0.432
TX,South,0.131,71151,0.398
TX,South,0.184,38715,0.581
TX,South,0.189,40120,0.58
TX,South,0.144,39396,0.519
TX,South,0.154,40318,0.526
TX,South,0.158,37395,0.512
TX,South,0.155,47677,0.528
TX,South,0.14,45996,0.427
TX,South,0.16,41516,0.433
TX,South,0.147,65874,0.363
TX,South,0.152,69317,0.368
TX,South,0.13,47445,0.57
TX,South,0.129,46991,0.561
TX,South,0.214,35294,0.606
TX,South,0.214,36366,0.618
TX,South,0.207,35183,0.582
TX,South,0.215,36775,0.587
TX,South,0.192,40624,0.602
TX,South,0.193,38423,0.618
TX,South,0.216,35830,0.616
TX,South,0.216,38544,0.607
TX,South,0.163,34941,0.536
TX,South,0.167,35846,0.529
TX,South,0.168,48066,0.525
TX,South,0.155,48324,0.506
TX,South,0.142,55700,0.507
TX,South,0.139,60650,0.456
TX,South,0.166,52431,0.162
TX,South,0.184,49238,0.457
TX,South,0.19,51340,0.47
TX,South,0.163,40817,0.506
TX,South,0.169,39660,0.57
TX,South,0.158,50916,0.387
TX,South,0.168,49792,0.427
TX,South,0.14,63720,0.31
TX,South,0.149,61199,0.329
TX,South,0.139,44256,0.296
TX,South,0.138,41784,0.29
TX,South,0.141,42378,0.539
TX,South,0.134,43766,0.52
TX,South,0.187,40254,0.574
TX,South,0.19,39833,0.592
TX,South,0.185,35754,0.633
TX,South,0.187,37366,0.434
TX,South,0.198,32861,0.458
TX,South,0.171,32766,0.457
TX,South,0.149,41349,0.477
TX,South,0.155,42183,0.471
TX,South,0.132,56716,0.313
TX,South,0.146,60439,0.711
TX,South,0.11,56680,0.417
TX,South,0.099,61724,0.383
TX,South,0.173,33598,0.576
TX,South,0.174,34556,0.638
TX,South,0.212,33153,0.557
TX,South,0.214,31409,0.559
TX,South,0.183,34431,0.637
TX,South,0.157,37053,0.617
TX,South,0.14,40970,0.481
TX,South,0.137,45214,0.484
TX,South,0.209,39771,0.592
TX,South,0.201,40631,0.584
TX,South,0.127,85164,0.231
TX,South,0.133,92466,0.192
TX,South,0.17,35593,0.436
TX,South,0.168,36769,0.467
TX,South,0.165,44478,0.536
TX,South,0.177,44349,0.685
TX,South,0.224,35805,0.418
TX,South,0.231,37576,0.429
TX,South,0.239,31714,0.826
TX,South,0.237,32140,1.0
TX,South,0.178,42160,0.608
TX,South,0.179,42320,0.585
TX,South,0.171,48287,0.548
TX,South,0.152,46781,0.522
TX,South,0.16,37107,0.542
TX,South,0.167,36030,0.512
TX,South,0.152,47322,0.198
TX,South,0.14,50402,0.249
TX,South,0.152,49340,0.451
TX,South,0.147,53219,0.456
TX,South,0.134,48779,0.417
TX,South,0.142,51116,0.405
TX,South,0.196,37122,0.61
TX,South,0.201,36565,0.601
TX,South,0.138,48054,0.402
TX,South,0.183,46305,0.516
TX,South,0.19,47711,0.553
TX,South,0.145,52988,0.401
TX,South,0.151,56282,0.407
TX,South,0.226,23358,0.334
TX,South,0.194,25408,0.289
TX,South,0.154,40805,0.552
TX,South,0.159,43779,0.541
TX,South,0.116,60695,0.414
TX,South,0.098,59098,0.321
TX,South,0.155,37076,0.598
TX,South,0.16,35601,0.62
TX,South,0.179,56030,0.451
TX,South,0.18,56906,0.328
TX,South,0.169,43181,0.464
TX,South,0.177,44081,0.462
TX,South,0.156,34928,0.635
TX,South,0.152,37489,0.598
TX,South,0.17,39312,0.676
TX,South,0.171,40501,0.686
TX,South,0.155,43393,0.454
TX,South,0.159,45405,0.442
TX,South,0.18,57293,0.487
TX,South,0.181,60372,0.538
TX,South,0.174,33771,0.469
TX,South,0.18,33447,0.414
TX,South,0.195,39255,0.475
TX,South,0.2,40986,0.465
TX,South,0.156,43356,0.405
TX,South,0.169,46489,0.472
TX,South,0.121,49846,0.247
TX,South,0.126,54549,0.17
TX,South,0.176,32920,0.672
TX,South,0.163,35813,0.647
TX,South,0.169,39864,0.622
TX,South,0.143,38645,0.667
TX,South,0.157,42563,0.446
TX,South,0.171,43220,0.445
TX,South,0.157,49012,0.573
TX,South,0.155,51544,0.558
TX,South,0.217,38024,0.31
TX,South,0.216,40092,
TX,South,0.195,47015,0.643
TX,South,0.19,49326,0.418
TX,South,0.139,46047,0.449
TX,South,0.149,51026,0.331
TX,South,0.171,45657,0.479
TX,South,0.183,49472,0.492
TX,South,0.178,35974,0.432
TX,South,0.152,38652,0.43
TX,South,0.18,40716,0.53
TX,South,0.176,42862,0.569
TX,South,0.126,47012,0.404
TX,South,0.141,51922,0.373
TX,South,0.172,43791,0.473
TX,South,0.18,43473,0.487
TX,South,0.17,37304,0.543
TX,South,0.175,37840,0.549
TX,South,0.236,29225,0.098
TX,South,0.198,28945,0.08
TX,South,0.14,71272,0.281
TX,South,0.147,71252,0.237
TX,South,0.124,61103,0.366
TX,South,0.122,60844,0.363
TX,South,0.129,48727,0.212
TX,South,0.122,54294,0.226
TX,South,0.134,53927,0.361
TX,South,0.146,58392,0.448
TX,South,0.158,45466,0.475
TX,South,0.173,45763,0.471
TX,South,0.134,55063,0.46
TX,South,0.107,57995,0.437
TX,South,0.159,43248,0.464
TX,South,0.164,44372,0.457
TX,South,0.182,33462,0.707
TX,South,0.14,34506,0.671
TX,South,0.236,25157,0.732
TX,South,0.196,25291,0.745
VA,South,0.142,36957,0.582
VA,South,0.146,38064,
VA,South,0.094,70813,0.212
VA,South,0.098,70032,
VA,South,0.123,80942,0.415
VA,South,0.119,85562,
VA,South,0.1,44530,0.384
VA,South,0.1,44983,
VA,South,0.11,49714,0.4
VA,South,0.109,52055,
VA,South,0.115,43791,0.378
VA,South,0.119,47268,
VA,South,0.131,43814,0.39
VA,South,0.132,44062,
VA,South,0.098,99255,0.253
VA,South,0.094,101533,
VA,South,0.078,49773,0.28
VA,South,0.086,54834,
VA,South,0.079,44524,0.296
VA,South,0.093,42951,
VA,South,0.079,56910,0.278
VA,South,0.083,56888,
VA,South,0.156,36579,0.498
VA,South,0.167,38162,
VA,South,0.082,42843,0.303
VA,South,0.098,41939,
VA,South,0.062,60943,0.161
VA,South,0.071,61005,
VA,South,0.154,31973,0.562
VA,South,0.155,35167,
VA,South,0.217,34621,0.705
VA,South,0.209,37800,
VA,South,0.122,32848,0.536
VA,South,0.134,31621,
VA,South,0.168,34415,0.523
VA,South,0.167,39538,
VA,South,0.143,36289,0.317
VA,South,0.138,36915,
VA,South,0.112,41193,0.308
VA,South,0.113,47982,
VA,South,0.117,54336,0.411
VA,South,0.116,55760,
VA,South,0.12,32777,0.411
VA,South,0.122,36218,
VA,South,0.14,47828,0.547
VA,South,0.144,48394,
VA,South,0.155,32873,0.444
VA,South,0.15,35715,
VA,South,0.179,41031,0.447
VA,South,0.179,45320,
VA,South,0.114,64950,0.256
VA,South,0.114,66516,
VA,South,0.094,70371,0.171
VA,South,0.094,67454,
VA,South,0.073,67922,0.158
VA,South,0.078,74384,
VA,South,0.11,51664,0.288
VA,South,0.112,49715,
VA,South,0.145,36566,0.45
VA,South,0.154,33904,
VA,South,0.066,38268,0.323
VA,South,0.085,45527,
VA,South,0.1,59609,0.321
VA,South,0.101,63876,
VA,South,0.139,36988,0.555
VA,South,0.137,41799,
VA,South,0.231,30588,0.663
VA,South,0.217,30940,
VA,South,0.12,35147,0.443
VA,South,0.13,33386,
VA,South,0.127,51131,0.465
VA,South,0.13,51864,
VA,South,0.265,32225,0.521
VA,South,0.26,32676,
VA,South,0.141,42012,0.581
VA,South,0.143,44427,
VA,South,0.071,106690,0.198
VA,South,0.067,110658,
VA,South,0.083,86963,0.196
VA,South,0.076,89507,
VA,South,0.093,121250,0.068
VA,South,0.082,117452,
VA,South,0.069,82957,0.19
VA,South,0.07,82705,
VA,South,0.095,42211,0.359
VA,South,0.098,41652,
VA,South,0.075,63307,0.208
VA,South,0.077,63117,
VA,South,0.1,43427,0.407
VA,South,0.106,48070,
VA,South,0.244,36078,0.705
VA,South,0.231,36326,
VA,South,0.077,64027,0.243
VA,South,0.077,68166,
VA,South,0.182,47297,0.477
VA,South,0.176,48152,
VA,South,0.162,33191,0.557
VA,South,0.152,33737,
VA,South,0.102,44365,0.35
VA,South,0.106,43504,
VA,South,0.079,57173,0.269
VA,South,0.085,58824,
VA,South,0.072,81707,0.206
VA,South,0.072,76843,
VA,South,0.124,32611,0.451
VA,South,0.128,33302,
VA,South,0.074,59718,0.286
VA,South,0.084,59730,
VA,South,0.187,36996,0.65
VA,South,0.194,38036,
VA,South,0.174,36203,0.523
VA,South,0.169,35553,
VA,South,0.177,47206,0.417
VA,South,0.172,45293,
VA,South,0.071,74660,0.093
VA,South,0.075,77316,
VA,South,0.184,35489,0.591
VA,South,0.185,37588,
VA,South,0.125,58723,0.311
VA,South,0.125,60050,
VA,South,0.161,34232,0.492
VA,South,0.148,36066,
VA,South,0.204,39315,0.573
VA,South,0.188,39440,
VA,South,0.106,64606,0.282
VA,South,0.108,62495,
VA,South,0.085,78396,0.223
VA,South,0.089,75806,
VA,South,0.104,75861,0.216
VA,South,0.099,78180,
VA,South,0.093,62005,0.275
VA,South,0.097,61183,
VA,South,0.121,45090,0.62
VA,South,0.119,44697,
VA,South,0.136,47769,0.639
VA,South,0.126,46578,
VA,South,0.126,30606,0.496
VA,South,0.138,32092,
VA,South,0.184,40250,0.248
VA,South,0.177,41521,
VA,South,0.056,118934,0.124
VA,South,0.052,117680,
VA,South,0.106,54836,0.362
VA,South,0.105,53170,
VA,South,0.164,33618,0.563
VA,South,0.164,37712,
VA,South,0.18,37402,0.527
VA,South,0.18,39918,
VA,South,0.087,51094,0.28
VA,South,0.098,51805,
VA,South,0.078,68970,0.45
VA,South,0.075,71742,
VA,South,0.109,65307,0.383
VA,South,0.098,70133,
VA,South,0.26,29550,0.631
VA,South,0.243,31046,
VA,South,0.082,57051,0.286
VA,South,0.091,55128,
VA,South,0.179,37435,0.504
VA,South,0.173,38439,
VA,South,0.096,48066,0.414
VA,South,0.1,47399,
VA,South,0.142,42307,0.304
VA,South,0.147,46024,
VA,South,0.099,47234,0.394
VA,South,0.106,45990,
VA,South,0.077,68862,0.179
VA,South,0.078,72150,
VA,South,0.173,46794,0.454
VA,South,0.168,47421,
VA,South,0.192,41880,0.555
VA,South,0.188,42949,
VA,South,0.167,32138,0.673
VA,South,0.171,36211,
VA,South,0.127,47143,0.438
VA,South,0.121,49054,
VA,South,0.141,33234,0.451
VA,South,0.15,32303,
VA,South,0.161,36818,0.522
VA,South,0.157,34805,
VA,South,0.107,58673,0.305
VA,South,0.105,60829,
VA,South,0.125,41300,0.431
VA,South,0.126,41070,
VA,South,0.121,33818,0.481
VA,South,0.122,34654,
VA,South,0.266,33280,0.639
VA,South,0.254,32623,
VA,South,0.128,42236,0.453
VA,South,0.126,40608,
VA,South,0.057,84177,0.1
VA,South,0.061,82815,
VA,South,0.189,41699,0.518
VA,South,0.186,43041,
VA,South,0.07,73639,0.136
VA,South,0.072,74820,
VA,South,0.172,37636,0.553
VA,South,0.166,39077,
VA,South,0.114,62475,0.262
VA,South,0.113,65625,
VA,South,0.084,93011,0.283
VA,South,0.079,93671,
VA,South,0.11,42502,0.436
VA,South,0.115,43555,
VA,South,0.187,37440,0.375
VA,South,0.189,34635,
VA,South,0.083,58276,0.278
VA,South,0.089,60945,
VA,South,0.127,41190,0.442
VA,South,0.143,42738,
VA,South,0.228,37933,0.659
VA,South,0.217,39249,
VA,South,0.075,58550,0.188
VA,South,0.083,57663,
VA,South,0.172,37800,0.54
VA,South,0.169,37223,
VA,South,0.097,46909,0.322
VA,South,0.103,46882,
VA,South,0.08,51137,0.29
VA,South,0.088,55636,
VA,South,0.127,35912,0.442
VA,South,0.13,36107,
VA,South,0.098,47760,0.23
VA,South,0.112,47837,
VA,South,0.113,36566,0.469
VA,South,0.123,38336,
VA,South,0.1,48677,0.329
VA,South,0.103,47874,
VA,South,0.136,36235,0.478
VA,South,0.136,37475,
VA,South,0.158,43846,0.363
VA,South,0.151,46547,
VA,South,0.086,77298,0.238
VA,South,0.085,73112,
VA,South,0.077,95927,0.173
VA,South,0.076,93014,
VA,South,0.132,40379,0.448
VA,South,0.136,39712,
VA,South,0.139,61778,0.351
VA,South,0.137,59468,
VA,South,0.146,50425,0.482
VA,South,0.139,50554,
VA,South,0.195,36901,0.693
VA,South,0.181,38948,
VA,South,0.11,34760,0.403
VA,South,0.123,38336,
VA,South,0.107,61523,0.23
VA,South,0.109,62509,
VA,South,0.088,58632,0.307
VA,South,0.097,56291,
VA,South,0.106,43155,0.353
VA,South,0.106,42242,
VA,South,0.146,43883,0.484
VA,South,0.14,42434,
VA,South,0.125,45051,0.561
VA,South,0.131,45927,
VA,South,0.194,44256,0.32
VA,South,0.19,47880,
VA,South,0.149,42305,0.4
VA,South,0.146,43943,
VA,South,0.125,35800,0.471
VA,South,0.142,37490,
VA,South,0.108,38533,0.39
VA,South,0.113,41168,
VA,South,0.078,75316,0.129
VA,South,0.083,78327,
WV,South,0.145,32940,0.499
WV,South,0.141,35558,0.511
WV,South,0.13,52672,0.401
WV,South,0.132,54010,0.392
WV,South,0.135,39194,0.448
WV,South,0.161,38098,0.432
WV,South,0.158,33280,0.517
WV,South,0.158,35296,0.527
WV,South,0.144,40044,0.389
WV,South,0.14,43719,0.417
WV,South,0.161,36048,0.422
WV,South,0.164,37628,0.469
WV,South,0.172,32922,0.537
WV,South,0.167,31946,
WV,South,0.179,32885,0.595
WV,South,0.177,32640,0.617
WV,South,0.138,34753,0.48
WV,South,0.137,39399,0.498
WV,South,0.152,33445,0.533
WV,South,0.152,33720,0.499
WV,South,0.168,32912,0.454
WV,South,0.166,35344,0.496
WV,South,0.146,38029,0.406
WV,South,0.149,38268,0.413
WV,South,0.147,36248,0.461
WV,South,0.15,37218,0.473
WV,South,0.155,34896,0.488
WV,South,0.165,37444,0.521
WV,South,0.161,37025,0.413
WV,South,0.15,40249,0.45
WV,South,0.137,38171,0.404
WV,South,0.14,36053,0.432
WV,South,0.136,41221,0.395
WV,South,0.139,42197,0.408
WV,South,0.148,39352,0.407
WV,South,0.144,38640,0.429
WV,South,0.109,62924,0.278
WV,South,0.114,64916,0.324
WV,South,0.133,45813,0.442
WV,South,0.136,45858,0.424
WV,South,0.138,37345,0.463
WV,South,0.148,38462,0.442
WV,South,0.169,34023,0.577
WV,South,0.167,35524,0.595
WV,South,0.153,33542,0.502
WV,South,0.159,35773,0.505
WV,South,0.131,40638,0.43
WV,South,0.137,41705,0.42
WV,South,0.142,42395,0.425
WV,South,0.14,41583,0.446
WV,South,0.159,36730,0.518
WV,South,0.155,36454,0.485
WV,South,0.195,25246,0.701
WV,South,0.194,25205,0.706
WV,South,0.153,34688,0.539
WV,South,0.155,34320,0.531
WV,South,0.137,38673,0.35
WV,South,0.149,38320,0.391
WV,South,0.156,32736,0.622
WV,South,0.164,32431,0.614
WV,South,0.153,41503,0.318
WV,South,0.159,47281,0.307
WV,South,0.112,36798,0.476
WV,South,0.12,36787,0.452
WV,South,0.139,41087,0.44
WV,South,0.148,42719,0.453
WV,South,0.139,38681,0.462
WV,South,0.146,38451,0.479
WV,South,0.142,37973,0.402
WV,South,0.143,41009,0.406
WV,South,0.129,36824,0.423
WV,South,0.131,36868,0.432
WV,South,0.15,42935,0.386
WV,South,0.135,43172,0.405
WV,South,0.15,30826,0.478
WV,South,0.156,32199,0.483
WV,South,0.116,40431,0.384
WV,South,0.122,42187,0.371
WV,South,0.103,55172,0.281
WV,South,0.103,56102,0.291
WV,South,0.139,40199,0.435
WV,South,0.146,39998,0.443
WV,South,0.149,36951,0.47
